date,temperature,dewpoint_temperature,relative_humidity,wind_speed,cloud_cover,precipitation,rain_tomorrow
2015-02-09,-7.406250000000003,-9.073749999999999,0.8783333333333335,1.6954166666666663,0.9979166666666665,12.480000000000002,0
2015-02-10,-7.203749999999999,-8.685416666666667,0.892083333333333,2.8975000000000004,0.9587500000000001,0.0,0
2015-02-11,-8.124999999999998,-11.788333333333332,0.7670833333333333,2.0316666666666667,0.8129166666666667,0.0,0
2015-02-12,-3.8575,-7.204999999999999,0.7774999999999999,3.808333333333333,0.8454166666666666,0.0,0
2015-02-13,-15.824583333333331,-21.11291666666667,0.6470833333333333,4.722499999999999,0.8129166666666667,0.0,1
2015-02-14,-11.005416666666667,-15.11833333333333,0.7183333333333334,3.745416666666667,0.8754166666666667,3.7499999999999996,1
2015-02-15,-15.7825,-19.829166666666673,0.71375,6.609583333333333,0.9862500000000001,3.829999999999999,0
2015-02-16,-18.487916666666667,-23.55916666666667,0.6525000000000001,4.278333333333333,0.9758333333333334,0.0,0
2015-02-17,-14.998750000000001,-20.44625,0.64125,1.2816666666666665,0.7016666666666667,0.0,0
2015-02-18,-12.267500000000004,-17.340833333333336,0.6654166666666667,2.2408333333333332,0.54125,0.0,1
2015-02-19,-12.296666666666667,-17.03083333333333,0.6816666666666666,4.8879166666666665,0.8091666666666669,4.92,0
2015-02-20,-18.157500000000002,-24.173333333333332,0.5991666666666668,4.622916666666667,0.6929166666666666,0.0,1
2015-02-21,-12.984166666666667,-18.793333333333337,0.6220833333333332,4.690416666666667,0.8095833333333333,3.0,0
2015-02-22,-5.9004166666666675,-8.902916666666666,0.7983333333333332,2.130416666666667,0.8420833333333334,0.0,0
2015-02-23,-12.175833333333332,-17.75583333333333,0.635,4.379583333333334,0.8345833333333333,0.0,0
2015-02-24,-16.80541666666667,-24.305416666666662,0.5433333333333332,3.386249999999999,0.6341666666666667,0.0,0
2015-02-25,-8.314583333333333,-15.270833333333334,0.5858333333333334,3.955,0.5700000000000001,0.0,0
2015-02-26,-11.452916666666667,-16.715,0.6516666666666665,2.1304166666666666,0.9029166666666666,0.0,0
2015-02-27,-12.455416666666666,-18.07708333333333,0.6395833333333333,2.4883333333333333,0.8845833333333334,0.0,0
2015-02-28,-13.299583333333333,-20.086249999999996,0.5829166666666666,1.6495833333333334,0.03166666666666667,0.0,1
2015-03-01,-9.4125,-13.524999999999997,0.7254166666666668,3.195,0.7912500000000001,4.77,0
2015-03-02,-4.734166666666668,-8.741666666666669,0.7487499999999999,4.3687499999999995,0.9500000000000001,0.0,1
2015-03-03,-8.385416666666666,-12.731250000000003,0.7145833333333335,3.572916666666666,0.6925,7.209999999999999,0
